,density(x),hardness(y),,Xi – Xbar,,yi(xi – xbar),,(Xi – Xbar)2,,,
,Regression,1,21345674.4959044,21345674.4959044,636.979363484729,1.33273478074106E-23,,,,,
,Residual,34,1139366.4763178,33510.7787152294,,,,,,,
,Total,35,22485040.9722222,,,,,,,,
,,,,,,,,,,,
,Confidence level,0.95,,,,,,,,,
,,,,,,,,,,,
,,Coefficients,Standard Error,t-Statistic,P-value,Lower 95%,Upper 95%,,,,
,Intercept,-1160.49970365941,108.579605160724,-10.6880081387438,2.065918566074E-12,-1381.16001007117,-939.83939724764,,,,
,X1,57.5066747641756,2.27853432103647,25.2384501006843,1.33273478074106E-23,52.8761359009572,62.1372136273939,,,,
,,,,,,,,,,,
,X1,Predicted Y,Y,Residual,,,,,,,
,24.7,259.91516301573,484,224.08483698427,,,,,,,
,24.8,265.665830492147,427,161.334169507853,,,,,,,
,27.3,409.432517402586,413,3.5674825974138,,,,,,,
,28.4,472.689859643179,517,44.3101403568207,,,,,,,
,28.4,472.689859643179,549,76.3101403568207,,,,,,,
,29,507.193864501685,648,140.806135498315,,,,,,,
,30.3,581.952541695113,587,5.04745830488719,,,,,,,
,32.7,719.968561129134,704,-15.9685611291343,,,,,,,
,35.6,886.737917945243,979,92.2620820547568,,,,,,,
,38.5,1053.50727476135,914,-139.507274761352,,,,,,,
,38.8,1070.7592771906,1070,-0.759277190604735,,,,,,,
,39.3,1099.51261457269,1020,-79.5126145726927,,,,,,,
,39.4,1105.26328204911,1210,104.73671795089,,,,,,,
,39.9,1134.0166194312,989,-145.016619431198,,,,,,,
,40.3,1157.01928933687,1160,2.98071066313196,,,,,,,
,40.6,1174.27129176612,1010,-164.271291766121,,,,,,,
,40.7,1180.02195924254,1100,-80.0219592425387,,,,,,,
,40.7,1180.02195924254,1130,-50.0219592425387,,,,,,,
,42.9,1306.53664372373,1270,-36.5366437237249,,,,,,,
,45.8,1473.30600053983,1180,-293.306000539834,,,,,,,
,46.9,1536.56334278043,1400,-136.563342780427,,,,,,,
,48.2,1611.32201997386,1760,148.677980026145,,,,,,,
,51.5,1801.09404669563,1710,-91.0940466956345,,,,,,,
,51.5,1801.09404669563,2010,208.905953304366,,,,,,,
,53.4,1910.35672874757,1880,-30.356728747568,,,,,,,
,56,2059.87408313442,1980,-79.8740831344244,,,,,,,
,56.5,2088.62742051651,1820,-268.627420516512,,,,,,,
,57.3,2134.63276032785,2020,-114.632760327852,,,,,,,
,57.6,2151.88476275711,1980,-171.884762757105,,,,,,,
,59.2,2243.89544237979,2310,66.1045576202137,,,,,,,
,59.8,2278.39944723829,1940,-338.399447238291,,,,,,,
,66,2634.94083077618,3260,625.05916922382,,,,,,,
,67.4,2715.45017544603,2700,-15.4501754460262,,,,,,,
,68.8,2795.95952011587,2890,94.0404798841287,,,,,,,
,69.1,2813.21152254512,2740,-73.2115225451239,,,,,,,
,69.1,2813.21152254512,3140,326.788477454876,,,,,,,
